,worst,years
0,Bahrain,1989
1,Qatar,1990
2,Rwanda,1991
3,Rwanda,1992
4,Singapore,1993
5,Singapore,1994
6,Singapore,1995
7,United Arab Emirates,1996
8,Singapore,1997
9,Singapore,1998
10,United Arab Emirates,1999
11,Singapore,2000
12,Singapore,2001
13,Singapore,2002
14,Singapore,2003
15,United Arab Emirates,2004
16,Singapore,2005
17,Singapore,2006
18,Singapore,2007
19,Kuwait,2008
20,Singapore,2009
21,Singapore,2010
22,Singapore,2011
23,Singapore,2012
24,Singapore,2013
25,Singapore,2014
26,Singapore,2015
27,Singapore,2016
28,Singapore,2017
29,Singapore,2018
